,team,possession,possession in contest,goals,date,hour,stage,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,xg,attendance,stadium,referee,formation,touches,tackles,interceptions,aerials_won,clearances,gks,throw_ins,long_balls,rival,team_id,total attempts_against,goal inside the penalty area_against,goal outside the penalty area_against,assists_against,on target attempts_against,off target attempts_against,attempts inside the penalty area_against,attempts outside the penalty area_against,left channel_against,left inside channel_against,central channel_against,right inside channel_against,right channel_against,total offers to receive_against,inbehind offers to receive_against,inbetween offers to receive_against,infront offers to receive_against,receptions between midfield and defensive lines_against,attempted line breaks_against,completed line breaks_against,attempted defensive line breaks_against,completed defensive line breaks_against,yellow cards_against,red cards_against,fouls against_against,offsides_against,passes_against,passes completed_against,crosses_against,crosses completed_against,switches of play completed_against,corners_against,free kicks_against,penalties scored_against,goal preventions_against,own goals_against,forced turnovers_against,defensive pressures applied_against,xg_against,formation_against,touches_against,tackles_against,interceptions_against,aerials_won_against,clearances_against,gks_against,throw_ins_against,long_balls_against
0,Qatar,42%,8%,0,20-Nov-22,17:00,Group stage,5,2,0,0,0,0,5,2,3,15,0,3,1,9,520,116,235,169,5,136,86,9,4,4,0,15,3,450,381,9,4,9,1,19,0,6,0,52,256,0.3,67372,Al Bayt Stadium,Daniele Orsato,5-3-2,549,10,2,14,18,4,20,51,Ecuador,202223,6,2,0,1,3,3,4,2,8,7,6,4,6,532,127,187,218,8,155,99,13,7,2,0,15,4,480,409,14,4,9,3,17,1,5,0,72,279,1.2,4-4-2,601,14,12,13,7,7,17,70
1,England,72%,9%,6,21-Nov-22,14:00,Group stage,13,2,6,0,6,7,3,10,3,11,5,2,3,11,1061,207,386,468,16,238,178,25,16,0,0,9,2,809,730,23,7,12,8,16,0,8,0,63,139,2.1,45334,Khalifa International Stadium,Raphael Claus,4-2-3-1,922,13,7,10,4,5,18,87,Iran,202211,8,2,0,1,3,4,6,2,3,0,3,1,0,212,53,86,73,4,101,45,7,4,2,0,14,2,224,154,8,1,3,0,10,1,13,0,72,416,1.4,5-4-1,341,12,16,10,23,5,17,50
2,Senegal,44%,11%,0,21-Nov-22,17:00,Group stage,14,2,0,0,0,3,8,7,7,12,4,2,4,13,502,123,230,149,15,151,89,22,15,2,0,13,2,383,313,19,7,9,6,14,0,9,0,63,263,0.9,41721,Al Thumama Stadium,Wilton Sampaio,4-2-3-1,531,14,10,22,32,6,17,64,Netherlands,202225,9,2,0,1,3,5,5,4,11,2,2,7,20,506,117,191,198,14,162,96,22,10,1,0,13,1,438,374,25,8,6,7,14,0,15,0,73,251,0.7,3-4-1-2,573,10,6,20,16,10,28,66
3,United States,51%,10%,1,21-Nov-22,20:00,Group stage,6,1,1,0,1,1,4,4,2,14,5,4,4,11,725,149,336,240,12,199,146,23,15,4,0,15,1,569,509,31,4,5,5,11,0,7,0,81,242,0.8,43418,Ahmed bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,4-3-3,724,14,6,14,18,5,22,56,Wales,202230,7,1,0,0,3,3,5,2,7,2,5,2,7,436,100,172,164,9,174,103,17,8,2,0,10,1,409,321,15,6,8,3,15,1,7,0,72,292,1.5,3-5-2,568,18,8,12,31,10,25,90
4,Argentina,64%,12%,1,22-Nov-22,11:00,Group stage,14,2,1,0,0,6,5,10,4,12,4,5,8,18,650,157,177,316,26,191,127,39,25,0,0,7,10,610,529,29,12,5,9,22,1,4,0,65,163,2.2,88012,Lusail Iconic Stadium,Slavko Vinčič,4-4-2,753,17,9,16,11,3,24,55,Saudi Arabia,202201,3,2,0,1,2,0,3,0,3,2,3,3,8,268,69,131,68,9,137,68,15,7,6,0,21,1,267,190,9,2,7,2,16,0,14,0,80,361,0.1,4-1-4-1,411,18,14,7,26,9,13,59
5,Denmark,55%,12%,0,22-Nov-22,14:00,Group stage,11,0,0,0,0,4,4,7,4,17,4,7,6,18,681,152,276,253,14,190,136,21,12,2,0,9,1,594,523,27,10,11,11,11,0,11,0,76,226,1.4,42925,Education City Stadium,César Arturo Ramos,3-5-2,751,12,11,20,12,6,24,84,Tunisia,202209,11,0,0,0,1,7,6,5,9,2,2,3,6,477,89,204,184,7,174,85,17,6,1,0,10,1,387,302,13,3,1,9,10,0,11,0,73,287,0.9,3-4-3,545,24,8,13,38,6,24,77
6,Mexico,54%,15%,0,22-Nov-22,17:00,Group stage,13,0,0,0,0,4,5,10,3,20,6,1,3,27,547,128,202,217,20,170,117,32,19,2,0,14,3,485,422,33,8,9,6,16,0,8,0,61,193,0.7,39369,Stadium 974,Chris Beath,4-3-3,649,16,5,16,19,7,21,64,Poland,202218,8,0,0,0,1,4,7,1,8,6,6,4,13,296,72,101,123,3,150,82,12,2,1,0,16,0,322,241,10,2,1,5,16,0,15,0,70,290,0.9,4-1-4-1,469,17,8,18,29,9,23,79
7,France,56%,9%,4,22-Nov-22,20:00,Group stage,22,1,4,0,4,7,9,18,4,30,6,3,8,19,691,150,182,359,26,173,135,32,27,0,0,5,0,734,672,34,17,6,8,11,0,4,0,64,250,4.0,40875,Al Janoub Stadium,Victor Gomes,4-2-3-1,870,20,12,16,6,8,17,60,Australia,202212,4,1,0,1,1,3,2,2,11,2,5,1,9,521,95,208,218,7,133,84,15,7,3,0,11,0,466,399,9,2,5,1,5,0,22,0,56,316,0.5,4-1-4-1,563,13,9,8,23,10,21,53
8,Morocco,32%,12%,0,23-Nov-22,11:00,Group stage,8,0,0,0,0,2,0,3,5,8,1,6,0,11,498,106,193,199,4,142,81,10,4,1,0,17,0,360,290,10,1,6,0,12,0,7,0,87,391,0.4,59407,Al Bayt Stadium,Fernando Rapallini,4-3-3,502,21,13,14,21,4,22,47,Croatia,202219,6,0,0,0,2,2,4,2,12,3,6,5,7,626,99,197,330,9,169,116,18,9,0,0,11,1,667,592,19,4,7,5,17,0,8,0,58,217,0.5,4-3-3,783,17,10,12,11,5,27,57
9,Germany,65%,13%,1,23-Nov-22,14:00,Group stage,25,2,1,0,0,9,11,15,10,24,9,14,5,21,865,199,366,300,19,241,185,23,20,0,0,6,4,820,743,28,9,4,6,17,1,12,0,55,164,3.1,42608,Khalifa International Stadium,Iván Barton,4-2-3-1,932,11,3,21,4,8,33,64,Japan,202213,10,2,0,1,3,6,10,0,5,0,3,3,11,346,102,146,98,10,113,70,17,11,0,0,14,4,261,207,16,3,2,6,10,0,26,0,87,487,1.5,4-2-3-1,440,29,6,12,38,10,12,64
